answer,response_option,category,itemName,settingName,context_nr,global_category
"Sorry, no. I’ve got these sticky bookmarks though and you are welcome to this notebook if that would be any good?",notebook,sameCategory,postit-reading,postit,context2,mostSimilar
"I'm sorry, I don't have one. Would you like to borrow my rain jacket?",rainjacket,competitor,umbrella-rain,umbrella,context2,competitor_c2
"No, but I have some wet wipes here.",wetwipes,competitor,handkerchief-sauce,handkerchief,context2,competitor_c2
I have these sticky bookmarks which are much the same thing.,bookmarks,competitor,postit-reading,postit,context2,competitor_c2
"I'm afraid not, but I can offer you some shorts, and since it is so hot today they would be more comfortable.",shorts,competitor,sweatpants-spill,sweatpants,context2,competitor_c2
"Yes, I have plenty of paper towels but feel free to also use the hair dryer, blanket and there’s a dryer in the basement too",papertowels,fullList,towel-clothes,towel,context2,mostSimilar
"Yes, I have plenty of paper towels but feel free to also use the hair dryer, blanket and there’s a dryer in the basement too",dryer,fullList,towel-clothes,towel,context2,competitor_c2
"Yes, I have plenty of paper towels but feel free to also use the hair dryer, blanket and there’s a dryer in the basement too",hairdryer,fullList,towel-clothes,towel,context2,competitor_c1
"Yes, I have plenty of paper towels but feel free to also use the hair dryer, blanket and there’s a dryer in the basement too",blanket,fullList,towel-clothes,towel,context2,otherCategory
I’ve got some chocolate if that’s any good. There’s also some ice cream and soda. Or how about these little trail mix packages?,chocolate,fullList,candy-dessert,candy,context2,mostSimilar
I’ve got some chocolate if that’s any good. There’s also some ice cream and soda. Or how about these little trail mix packages?,icecream,fullList,candy-dessert,candy,context2,competitor_c2
I’ve got some chocolate if that’s any good. There’s also some ice cream and soda. Or how about these little trail mix packages?,trailmix,fullList,candy-dessert,candy,context2,competitor_c1
I’ve got some chocolate if that’s any good. There’s also some ice cream and soda. Or how about these little trail mix packages?,soda,fullList,candy-dessert,candy,context2,otherCategory
"No, I’m sorry I don’t have any of those. Feel free to try using these sticky bookmarks though.",bookmarks,competitor,postit-reading,postit,context2,competitor_c2
"Oh I’m really sorry, I don’t have an umbrella. You can borrow my rain jacket but I’m afraid I only have one.",rainjacket,competitor,umbrella-rain,umbrella,context2,competitor_c2
"No, sorry but I do have sweetener tablets,  honey and agave syrup if you would like any of those?",sweetener,sameCategory,sugar-coffee,sugar,context1,competitor_c1
"No, sorry but I do have sweetener tablets,  honey and agave syrup if you would like any of those?",honey,sameCategory,sugar-coffee,sugar,context1,mostSimilar
"No, sorry but I do have sweetener tablets,  honey and agave syrup if you would like any of those?",syrup,sameCategory,sugar-coffee,sugar,context1,competitor_c2
"No, I have a mug if you would like to use that?",mug,sameCategory,bottle-plants,bottle,context1,competitor_c2
"No, I have a pan if that’s any good?",pans,sameCategory,pot-garden,pot,context1,competitor_c2
"Only paper towels, would you like some?",papertowels,mostSimilar,towel-hair,towel,context1,mostSimilar
"no, sorry i do not, but i do have a rain coat if that helps?",rainjacket,competitor,umbrella-rain,umbrella,context2,competitor_c2
i'm afraid i don't but i do have several pans you can use if that helps,pans,competitor,pot-jam,pot,context2,competitor_c2
"we have a big chocolate bar, and we also have ice cream",chocolate,sameCategory,candy-dessert,candy,context2,mostSimilar
"we have a big chocolate bar, and we also have ice cream",icecream,sameCategory,candy-dessert,candy,context2,competitor_c2
"i don't, but i have a glass, if there is somewhere we can fill it up",glass,mostSimilar,bottle-water,bottle,context2,mostSimilar
I don't but I do have some paper napkins and some wet wipes,napkins,sameCategory,handkerchief-sauce,handkerchief,context2,mostSimilar
I don't but I do have some paper napkins and some wet wipes,wetwipes,sameCategory,handkerchief-sauce,handkerchief,context2,competitor_c2
"No I don't, but I do have honey,agave syrup and sweetener tablets if they are any good",sweetener,sameCategory,sugar-baking,sugar,context2,competitor_c1
"No I don't, but I do have honey,agave syrup and sweetener tablets if they are any good",honey,sameCategory,sugar-baking,sugar,context2,mostSimilar
"No I don't, but I do have honey,agave syrup and sweetener tablets if they are any good",syrup,sameCategory,sugar-baking,sugar,context2,competitor_c2
I have a cake container and carton if they would help. I also have a tote bad and ziplock bag which might be useful,cakecontainer,fullList,box-bbq,box,context2,competitor_c1
I have a cake container and carton if they would help. I also have a tote bad and ziplock bag which might be useful,ziplock,fullList,box-bbq,box,context2,competitor_c2
I have a cake container and carton if they would help. I also have a tote bad and ziplock bag which might be useful,carton,fullList,box-bbq,box,context2,mostSimilar
I have a cake container and carton if they would help. I also have a tote bad and ziplock bag which might be useful,tote,fullList,box-bbq,box,context2,otherCategory
"No, but we do have a vacuum or a hand brush if they are of any use to you?",vacuum,sameCategory,broom-renovation,broom,context1,competitor_c1
"No, but we do have a vacuum or a hand brush if they are of any use to you?",handbrush,sameCategory,broom-renovation,broom,context1,mostSimilar
"No, but I can lend you some pyjamas, leggings or a pair of shorts.",leggings,sameCategory,sweatpants-sleepover,sweatpants,context1,mostSimilar
"No, but I can lend you some pyjamas, leggings or a pair of shorts.",pyjamas,sameCategory,sweatpants-sleepover,sweatpants,context1,competitor_c1
"No, but I can lend you some pyjamas, leggings or a pair of shorts.",shorts,sameCategory,sweatpants-sleepover,sweatpants,context1,competitor_c2
We have a big chocolate bar?,chocolate,mostSimilar,candy-dessert,candy,context2,mostSimilar
"No, but we have paper towels. You can dry your hair using the hair dryer and we can dry your costumes in the dryer",papertowels,sameCategory,towel-clothes,towel,context2,mostSimilar
"No, but we have paper towels. You can dry your hair using the hair dryer and we can dry your costumes in the dryer",hairdryer,sameCategory,towel-clothes,towel,context2,competitor_c1
"No, but we have paper towels. You can dry your hair using the hair dryer and we can dry your costumes in the dryer",dryer,sameCategory,towel-clothes,towel,context2,competitor_c2
"No, but you can make notes in this notebook and use the sticky bookmarks to mark which pages are helpful",bookmarks,sameCategory,postit-reading,postit,context2,competitor_c2
"No, but you can make notes in this notebook and use the sticky bookmarks to mark which pages are helpful",notebook,sameCategory,postit-reading,postit,context2,mostSimilar
No but you can wear this rain jacket and put this plastic bike cover on your head.,rainjacket,sameCategory,umbrella-rain,umbrella,context2,competitor_c2
No but you can wear this rain jacket and put this plastic bike cover on your head.,bikecover,sameCategory,umbrella-rain,umbrella,context2,mostSimilar
No but i have a hair dryer,hairdryer,competitor,towel-hair,towel,context1,competitor_c1
